device_id,customer_id,device_model,purchase_type,activation_date
1,50,LU600,Rental,2025-05-24
2,35,Solo Backpack,Purchase,2026-02-23
3,33,LU300,Rental,2026-06-30
4,33,LU800,Subscription,2024-08-31
5,61,LU800,Subscription,2026-05-13
6,51,LU800,Rental,2025-10-06
7,43,LU800,Rental,2025-07-26
8,101,LU800,Subscription,2026-06-27
9,12,LU300,Rental,2025-03-20
10,67,LU300,Purchase,2025-05-25
11,65,Solo Backpack,Subscription,2026-05-21
12,33,LiveU Nexus (Software),Purchase,2026-04-11
13,40,LU300,Rental,2025-09-09
14,74,Solo Backpack,Purchase,2026-01-28
15,43,Solo Backpack,Purchase,2026-03-16
16,44,LU600,Purchase,2026-05-26
17,29,LU800,Subscription,2025-08-04
18,13,LU800,Purchase,2025-03-01
19,12,LU600,Purchase,2025-08-02
20,95,LU600,Purchase,2025-05-24
21,46,LU800,Rental,2025-12-12
22,2,LiveU Nexus (Software),Subscription,2026-03-15
23,115,Solo Backpack,Rental,2026-01-21
24,114,LU800,Rental,2026-04-15
25,35,LU600,Subscription,2026-06-10
26,87,LU800,Rental,2026-07-25
27,81,LU600,Purchase,2025-09-06
28,90,LU600,Purchase,2026-06-01
29,8,Solo Backpack,Purchase,2025-10-17
30,93,LU600,Purchase,2025-12-08
31,26,Solo Backpack,Rental,2024-10-16
32,74,LiveU Nexus (Software),Subscription,2025-06-22
33,90,LU800,Purchase,2026-05-03
34,34,Solo Backpack,Rental,2024-12-26
35,115,LU300,Rental,2025-02-20
36,105,LU600,Purchase,2025-04-10
37,7,LU600,Subscription,2025-07-10
38,68,Solo Backpack,Rental,2025-04-17
39,58,LU300,Purchase,2026-05-13
40,117,Solo Backpack,Subscription,2025-03-05
41,114,LiveU Nexus (Software),Rental,2026-07-03
42,109,LU300,Rental,2025-06-16
43,75,LiveU Nexus (Software),Rental,2026-04-10
44,29,LU300,Rental,2025-07-22
45,120,LU300,Subscription,2026-02-08
46,36,LU300,Purchase,2024-09-23
47,89,LU800,Purchase,2026-07-04
48,21,Solo Backpack,Purchase,2025-01-25
49,36,LU300,Subscription,2024-10-05
50,10,LU600,Purchase,2026-07-08
51,101,LiveU Nexus (Software),Subscription,2024-09-15
52,73,LU600,Rental,2024-09-08
53,24,LU300,Subscription,2025-02-11
54,64,LU300,Subscription,2026-04-14
55,99,Solo Backpack,Subscription,2025-11-07
56,49,LU600,Subscription,2025-02-04
57,99,Solo Backpack,Rental,2025-07-24
58,112,Solo Backpack,Rental,2024-11-07
59,36,LU800,Purchase,2026-07-01
60,82,LU800,Purchase,2025-07-18
61,113,LU300,Rental,2025-02-17
62,103,LU600,Rental,2025-05-09
63,96,LU800,Purchase,2025-10-27
64,24,LU300,Rental,2026-07-12
65,23,LU600,Subscription,2026-01-16
66,62,LU300,Rental,2026-02-28
67,96,LU600,Subscription,2024-12-13
68,37,LU300,Subscription,2025-03-29
69,12,LU600,Subscription,2025-10-08
70,113,LU300,Rental,2026-06-17
71,55,LU800,Subscription,2025-10-06
72,13,LU300,Subscription,2026-06-02
73,23,LU600,Subscription,2025-05-14
74,89,LiveU Nexus (Software),Purchase,2026-06-26
75,99,LU300,Rental,2025-01-06
76,105,LiveU Nexus (Software),Purchase,2025-10-17
77,30,LU300,Purchase,2026-04-07
78,17,LU800,Rental,2025-02-08
79,113,Solo Backpack,Subscription,2026-01-01
80,62,LU600,Subscription,2025-03-22
81,84,LU600,Purchase,2025-12-23
82,112,LU800,Subscription,2026-03-20
83,89,LU300,Rental,2026-03-14
84,86,LU300,Subscription,2025-09-29
85,13,LU600,Subscription,2024-09-15
86,59,LiveU Nexus (Software),Rental,2025-09-05
87,19,LU800,Purchase,2025-12-06
88,49,LU600,Subscription,2024-10-05
89,100,LU600,Purchase,2025-11-26
90,12,LU800,Purchase,2024-08-26
91,61,LU600,Subscription,2025-06-15
92,105,LU300,Purchase,2025-08-05
93,19,LU300,Subscription,2025-06-25
94,76,LU800,Purchase,2025-05-05
95,9,LU600,Subscription,2026-05-21
96,71,LU800,Purchase,2025-07-14
97,28,LiveU Nexus (Software),Subscription,2024-12-05
98,78,LU800,Subscription,2024-12-21
99,95,LU300,Purchase,2025-08-28
100,52,LiveU Nexus (Software),Rental,2025-11-28
101,83,LU300,Subscription,2025-11-04
102,111,LiveU Nexus (Software),Rental,2026-06-11
103,16,LU800,Purchase,2026-02-26
104,117,Solo Backpack,Rental,2025-07-18
105,69,LU300,Rental,2026-04-04
