invoice_id,customer_id,device_id,invoice_date,amount_usd,status
1,117,40,2026-07-26,565.36,Paid
2,21,48,2026-03-24,7318.94,Paid
3,111,131,2026-06-03,421.73,Pending
4,12,19,2025-08-20,8809.11,Pending
5,38,151,2026-06-02,9114.06,Paid
6,96,67,2026-03-03,649.18,Pending
7,84,267,2026-06-12,725.96,Paid
8,6,275,2026-06-25,8423.01,Pending
9,21,209,2025-09-17,443.29,Pending
10,2,22,2025-10-06,657.62,Paid
11,39,188,2026-05-22,789.59,Paid
12,65,11,2026-07-09,689.3,Paid
13,74,173,2026-06-11,7410.97,Paid
14,14,122,2025-12-07,404.04,Paid
15,50,253,2026-02-08,643.37,Paid
16,44,203,2025-11-14,502.51,Paid
17,18,220,2026-03-03,522.6,Paid
18,49,223,2025-11-22,434.21,Paid
19,114,24,2026-03-03,410.0,Paid
20,117,266,2025-08-24,573.38,Paid
21,10,50,2025-09-02,8380.7,Paid
22,82,60,2026-03-04,9471.29,Paid
23,62,66,2025-09-23,446.58,Paid
24,57,219,2026-07-07,681.03,Paid
25,67,10,2026-01-15,9416.55,Paid
26,2,22,2025-08-17,677.28,Overdue
27,95,99,2025-11-07,8425.63,Paid
28,8,29,2025-11-07,8202.18,Paid
29,84,267,2026-01-05,594.34,Paid
30,69,105,2025-12-24,510.61,Paid
31,72,185,2025-11-29,793.3,Paid
32,117,200,2026-07-20,702.01,Paid
33,45,204,2026-04-24,676.79,Pending
34,36,46,2026-04-25,7458.16,Pending
35,74,14,2026-05-05,9120.75,Paid
36,33,198,2026-07-12,7415.02,Paid
37,113,79,2026-02-13,585.72,Overdue
38,57,234,2026-08-14,9942.58,Paid
39,68,38,2025-11-07,548.85,Paid
40,70,165,2026-08-02,810.33,Paid
41,52,109,2025-11-28,7559.48,Paid
42,73,52,2025-09-13,510.46,Paid
43,12,90,2025-12-17,8666.43,Paid
44,53,112,2025-12-26,8034.98,Pending
45,111,131,2026-07-21,424.75,Overdue
46,19,175,2025-09-17,607.16,Paid
47,20,183,2025-09-01,384.72,Pending
48,81,27,2025-10-11,7579.8,Paid
49,47,221,2026-01-20,771.55,Paid
50,118,261,2025-12-17,533.97,Pending
51,10,282,2025-10-22,546.49,Paid
52,76,94,2026-01-19,9205.24,Paid
53,14,224,2026-07-09,384.83,Paid
54,18,293,2026-04-25,7995.7,Pending
55,49,56,2026-04-02,696.49,Overdue
56,90,249,2025-11-30,607.17,Paid
57,90,249,2026-07-03,694.86,Pending
58,20,218,2025-11-24,430.38,Paid
59,119,288,2026-02-15,693.91,Paid
60,89,74,2025-12-30,8284.8,Overdue
61,25,108,2025-11-22,395.05,Paid
62,92,269,2026-07-14,429.34,Paid
63,108,136,2026-06-05,560.31,Paid
64,29,149,2026-06-01,10139.45,Pending
65,46,21,2026-06-28,528.71,Paid
66,82,60,2026-08-09,10271.15,Paid
67,5,124,2026-05-28,8613.52,Paid
68,65,156,2025-10-09,669.0,Overdue
69,30,284,2025-10-10,485.68,Pending
70,33,3,2026-01-27,429.9,Overdue
71,29,271,2026-06-04,7269.79,Pending
72,118,230,2026-08-09,10278.21,Paid
73,52,100,2026-06-11,491.37,Paid
74,39,176,2025-09-27,657.49,Paid
75,8,153,2026-01-20,10044.96,Paid
76,14,122,2026-05-09,429.89,Paid
77,117,245,2025-10-08,718.94,Paid
78,10,282,2025-12-13,524.9,Paid
