session_id,device_id,customer_id,session_start,duration_minutes,avg_bitrate_kbps,packet_loss_pct,uptime_pct,dropped_connection,network_type
1,58,112,2026-01-14 04:06:40.330190,85.3,7498.0,0.53,94.47,1,Cellular Bonded
2,141,13,2025-11-08 06:18:52.562077,55.6,8255.0,0.3,99.7,0,Wired IP
3,72,13,2026-06-21 09:14:33.473511,66.7,10576.0,0.95,99.05,0,Satellite Hybrid
4,280,25,2025-09-28 15:44:57.935852,86.8,13042.0,0.8,99.2,0,WiFi
5,217,19,2026-07-29 22:52:56.612970,109.1,8159.0,0.11,94.89,1,Cellular Bonded
6,48,21,2026-04-11 16:16:47.230169,46.4,5624.0,0.11,99.89,0,Wired IP
7,259,64,2025-10-13 10:39:21.504178,77.7,6426.0,0.08,99.92,0,Wired IP
8,288,119,2026-07-24 16:39:26.147057,63.3,9390.0,0.85,99.15,0,Cellular Bonded
9,280,25,2025-12-02 18:42:30.837968,43.3,9597.0,0.96,99.04,0,Cellular Bonded
10,230,118,2026-05-02 17:48:15.063935,127.7,8858.0,0.12,99.88,0,Cellular Bonded
11,4,33,2026-01-16 21:48:55.389435,55.1,6513.0,0.33,99.67,0,Cellular Bonded
12,82,112,2026-02-10 08:52:50.177481,56.2,8474.0,0.13,99.87,0,Cellular Bonded
13,175,19,2026-02-06 14:49:11.033672,112.5,7409.0,0.2,99.8,0,Cellular Bonded
14,111,100,2026-01-31 23:36:32.858136,95.8,9692.0,0.08,99.92,0,WiFi
15,173,74,2025-10-10 00:55:25.000805,95.1,10442.0,0.26,99.74,0,Cellular Bonded
16,195,113,2025-10-26 19:39:03.407656,145.8,6150.0,0.36,99.64,0,Cellular Bonded
17,177,67,2026-03-25 00:50:39.400793,110.5,6858.0,0.12,99.88,0,Cellular Bonded
18,23,115,2026-05-17 15:57:36.901685,60.5,4938.0,1.16,98.84,0,Cellular Bonded
19,275,6,2025-10-07 01:39:54.927856,68.6,10915.0,0.7,99.3,0,Cellular Bonded
20,194,63,2025-09-12 17:19:27.934097,83.5,9445.0,0.1,99.9,0,Cellular Bonded
21,151,38,2026-05-27 07:05:49.349360,1.0,6583.0,0.15,99.85,0,WiFi
22,186,61,2026-06-26 03:11:37.663989,33.8,9600.0,0.81,99.19,0,WiFi
23,36,105,2025-12-20 07:21:16.275693,18.5,14410.0,0.31,99.69,0,Cellular Bonded
24,117,109,2026-06-01 18:52:54.459537,58.7,5033.0,0.3,99.7,0,Cellular Bonded
25,41,114,2025-11-23 18:24:36.451201,39.0,10343.0,0.97,99.03,0,Wired IP
26,52,73,2025-08-19 04:11:42.884668,58.5,4647.0,0.0,100.0,0,Satellite Hybrid
27,233,87,2026-05-10 06:37:29.019896,8.0,9515.0,0.33,99.67,0,Cellular Bonded
28,187,105,2026-06-19 22:48:51.012105,82.8,5512.0,0.16,99.84,0,Satellite Hybrid
29,182,58,2026-03-17 22:24:24.049362,76.9,7898.0,0.06,99.94,0,Cellular Bonded
30,137,17,2026-04-16 03:26:08.343582,27.5,12047.0,1.47,98.53,0,WiFi
